GEOGRAPHY_LEVEL,DATA_Level,UUID,FY_ENDING,CASSR,GEOGRAPHY_CODE,DH_GEOGRAPHY_NAME,REGION_GO_CODE,GEOGRAPHY_NAME,DimensionGroup,CareType,FinanceType,FinanceDescription,AgeBand,PrimarySupportReason,SupportSetting,Purpose,CarerSupportType,DataType,ActivityProvision,ComparativeTotals,DataSource,ValueType,ITEMVALUE
Region,Gross Current Expenditure,8110115,2022,,,,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,18124
Local Authority,Gross Current Expenditure,8110115,2022,102,E10000006,Cumbria,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,475
Local Authority,Gross Current Expenditure,8110115,2022,104,E06000057,Northumberland,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,710
Local Authority,Gross Current Expenditure,8110115,2022,107,E08000021,Newcastle upon Tyne,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,639
Local Authority,Gross Current Expenditure,8110115,2022,110,E08000024,Sunderland,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,639
Local Authority,Gross Current Expenditure,8110115,2022,112,E06000002,Middlesbrough,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,428
Local Authority,Gross Current Expenditure,8110115,2022,204,E08000016,Barnsley,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,162
Local Authority,Gross Current Expenditure,8110115,2022,205,E08000017,Doncaster,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,373
Local Authority,Gross Current Expenditure,8110115,2022,215,E06000010,Kingston upon Hull City of,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,665
Local Authority,Gross Current Expenditure,8110115,2022,218,E10000023,North Yorkshire,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1441
Local Authority,Gross Current Expenditure,8110115,2022,304,E08000001,Bolton,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,280
Local Authority,Gross Current Expenditure,8110115,2022,310,E08000007,Stockport,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,990
Local Authority,Gross Current Expenditure,8110115,2022,316,E08000012,Liverpool,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1581
Local Authority,Gross Current Expenditure,8110115,2022,404,E10000031,Warwickshire,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1345
Local Authority,Gross Current Expenditure,8110115,2022,410,E08000029,Solihull,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,646
Local Authority,Gross Current Expenditure,8110115,2022,508,E10000018,Leicestershire,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,74
Local Authority,Gross Current Expenditure,8110115,2022,510,E06000017,Rutland,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,30
Local Authority,Gross Current Expenditure,8110115,2022,511,E10000024,Nottinghamshire,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1728
Local Authority,Gross Current Expenditure,8110115,2022,606,E10000015,Hertfordshire,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,3437
Local Authority,Gross Current Expenditure,8110115,2022,616,E06000038,Reading,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,929
